Machine_ID,Timestamp,temprature_C,Vibration_m_s2,Pressure_bar,Humidity_%,Oil_Level_%,Load_Capacity_%,Maintenance_History,Failure_Type
1051,19-01-2024 03:49,66.87,0.79,2.9,65,57.65,86.15,1,Good_Maintenance
1092,11-01-2024 19:00,71.58,0.45,3.83,67,57.64,87.34,1,Good_Maintenance
1014,25-01-2024 18:36,71.53,0.77,4.18,65,37.23,75.08,1,Good_Maintenance
1071,04-01-2024 06:32,72.65,0.62,3.03,37,51.07,78.04,0,Hydraulic
1060,19-01-2024 04:41,60.57,0.41,3.18,33,56.05,84.76,1,Good_Maintenance
1020,14-01-2024 19:39,58.68,0.45,3.05,70,33.35,82.8,0,Mechanical
1082,14-01-2024 17:47,51.93,1.19,2.93,40,60.56,76.82,1,Good_Maintenance
1086,15-01-2024 13:42,70.84,0.95,3.44,73,43.12,80.32,1,Good_Maintenance
1074,16-01-2024 16:46,59.09,0.57,2.97,71,41.35,83.94,1,Overheating
1074,08-01-2024 01:10,87.09,0.66,2.82,52,47.16,89.59,0,Hydraulic
1087,15-01-2024 03:53,75.23,0.78,3.38,52,56.99,91.77,0,Wear
1099,26-01-2024 20:59,60.55,0.41,2.85,35,59.97,70.92,1,Good_Maintenance
1023,20-01-2024 06:30,79.08,0.7,2.95,68,66.65,84.26,0,Hydraulic
1002,06-01-2024 23:13,79.1,0.75,2.93,54,41.07,76.87,1,Overheating
1021,13-01-2024 01:18,79.75,0.65,3.39,35,53.67,85.77,1,Overheating
1052,12-01-2024 12:47,63.54,0.81,3.23,53,56.82,73.15,1,Good_Maintenance
1001,26-01-2024 23:01,75.73,0.62,2.45,74,54.85,76.58,0,Hydraulic
1087,18-01-2024 05:31,79.89,0.77,3.31,36,40.2,79.13,0,Wear
1029,20-01-2024 11:54,82.57,0.64,2.87,32,52.57,83.35,0,Hydraulic
1037,15-01-2024 07:15,57.81,0.37,3.82,34,53.21,78.15,1,Good_Maintenance
1001,19-01-2024 15:33,68.26,0.74,2.37,59,43.72,76.36,0,Wear
1063,06-01-2024 16:23,63.25,0.8,3.35,60,54.83,71.45,0,Wear
1059,15-01-2024 08:21,84.91,0.58,3.51,37,52.09,76.68,1,Overheating
1020,29-01-2024 14:09,73.93,0.4,2.72,51,36.47,83.38,1,Good_Maintenance
1032,26-01-2024 08:15,77.13,0.73,3.09,64,56.33,87.44,0,Wear
1075,10-01-2024 12:23,73.81,0.65,3.24,26,51.14,74.79,1,Good_Maintenance
1057,22-01-2024 09:35,73,0.64,3.14,52,31.09,75.25,1,Good_Maintenance
1021,21-01-2024 12:45,63.09,0.63,3.39,58,47,76.32,1,Good_Maintenance
1088,16-01-2024 22:22,66.43,0.75,3.26,45,51.24,79.41,1,Good_Maintenance
1048,30-01-2024 20:26,70.57,0.64,3.51,30,42.81,80.97,1,Good_Maintenance
1090,24-01-2024 00:41,64.81,0.53,3.33,63,53.12,78.47,0,Hydraulic
1058,30-01-2024 00:43,63.33,0.36,3.24,50,47.12,72.1,0,Hydraulic
1041,07-01-2024 17:56,68.35,0.53,3.09,60,60.25,69.84,1,Good_Maintenance
1091,29-01-2024 20:43,65.16,0.74,3.3,64,52.71,77.53,1,Good_Maintenance
1059,24-01-2024 03:49,70.4,0.55,3.9,42,69.04,82.66,1,Hydraulic
1079,30-01-2024 18:59,66.46,0.74,3.17,66,35.58,80.03,0,Wear
1014,01-01-2024 02:12,64.52,0.39,2.69,67,53.2,88.42,0,Hydraulic
1061,03-01-2024 08:25,62.58,0.45,3.64,63,50.17,72.41,0,Electrical
1061,26-01-2024 08:58,70.05,0.44,4.03,29,54.21,80.51,0,Electrical
1046,25-01-2024 07:56,77.11,0.62,3.43,50,63.09,86.97,0,Electrical
1061,24-01-2024 10:23,75.21,0.87,3.99,35,35.67,78.51,0,Wear
1050,29-01-2024 00:53,57.78,0.94,3.26,74,56.08,73.61,1,Good_Maintenance
1054,06-01-2024 00:13,76.88,0.76,4.38,40,53.37,66.48,0,Wear
1063,19-01-2024 03:19,75.15,0.31,2.61,43,40.9,78.41,0,Mechanical
1002,02-01-2024 23:15,77.1,0.49,3.14,29,61.89,77.44,1,Overheating
1050,02-01-2024 21:38,78.67,0.14,3.44,31,50.61,76.75,1,Overheating
1006,30-01-2024 09:17,64.18,0.62,2.89,27,42.57,81.5,0,Mechanical
1020,03-01-2024 20:54,67.6,0.84,3.67,49,54.29,89.08,0,Wear
1072,18-01-2024 23:32,84.32,0.72,3.42,34,59.56,73.13,1,Overheating
1038,28-01-2024 12:01,83.85,0.34,3.11,29,53.18,75.2,0,Hydraulic
1017,06-01-2024 19:13,69.39,0.81,3.37,56,45.73,79.26,0,Wear
1003,11-01-2024 21:30,74.82,0.78,3.28,56,42.06,83.6,1,Good_Maintenance
1088,02-01-2024 07:49,75.52,0.83,3.46,29,41.86,78.08,1,Overheating
1059,18-01-2024 20:23,84.06,0.77,3.11,67,57.95,82.92,1,Overheating
1013,11-01-2024 01:36,72.76,0.52,2.32,43,59.43,72.8,0,Hydraulic
1008,09-01-2024 09:02,60.3,0.32,3.55,36,47.48,80.24,0,Electrical
1089,07-01-2024 20:10,66.19,0.78,3.17,55,73.35,79.93,1,Good_Maintenance
1052,20-01-2024 05:41,95.07,0.72,2.89,41,47.62,87.84,1,Overheating
1001,25-01-2024 02:51,59.93,0.3,3.05,46,49.25,85.67,1,Good_Maintenance
1083,04-01-2024 13:53,70.4,0.46,3.12,71,46.04,80.57,0,Good_Maintenance
1091,08-01-2024 06:41,88.51,0.46,2.61,74,48.83,75.25,0,Hydraulic
1059,24-01-2024 10:14,63.6,0.71,2.84,65,49.61,68.33,0,Wear
1070,01-01-2024 14:49,48.18,0.6,3.15,46,55.81,75.57,1,Good_Maintenance
1043,14-01-2024 12:05,49.66,0.56,3.13,73,48.05,90.93,1,Good_Maintenance
1007,05-01-2024 11:41,63.65,0.54,2.83,50,56.06,70.94,0,Hydraulic
1046,28-01-2024 00:54,55.9,0.43,2.68,55,34.03,75.43,1,Good_Maintenance
1034,20-01-2024 14:05,78.3,0.74,2.86,67,43.76,80.64,1,Overheating
1077,17-01-2024 05:11,72.15,0.49,3.32,30,46.8,86.33,1,Good_Maintenance
1080,12-01-2024 02:46,52.93,0.77,2.94,36,47.45,73.61,1,Good_Maintenance
1035,08-01-2024 14:20,57.24,0.39,3.55,67,31.67,82.32,0,Electrical
1049,08-01-2024 19:38,79.92,0.53,3.66,51,58.95,76.07,0,Electrical
1003,18-01-2024 00:05,71.55,0.89,3.9,41,35.31,73.91,1,Mechanical
1001,17-01-2024 12:03,81.47,0.64,3.45,34,43.68,77.02,1,Overheating
1005,28-01-2024 19:28,78.95,0.53,3.37,69,49.72,79.77,1,Overheating
1053,01-01-2024 17:47,60.8,0.51,3.75,29,70.42,73.65,0,Electrical
1003,15-01-2024 07:27,77.06,0.47,2.71,28,49.47,85.58,1,Overheating
